Line,EPD,pair,reliability,used.model,log.x,log.y,nboot.gc,mu.model,lambda.model,A.model,integral.model,stdmu.model,stdlambda.model,stdA.model,ci90.mu.model.lo,ci90.mu.model.up,ci90.lambda.model.lo,ci90.lambda.model.up,ci90.A.model.lo,ci90.A.model.up,ci95.mu.model.lo,ci95.mu.model.up,ci95.lambda.model.lo,ci95.lambda.model.up,ci95.A.model.lo,ci95.A.model.up,mu.spline,lambda.spline,A.spline,integral.spline,mu.bt,lambda.bt,A.bt,integral.bt,stdmu.bt,stdlambda.bt,stdA.bt,stdintegral.bt,ci90.mu.bt.lo,ci90.mu.bt.up,ci90.lambda.bt.lo,ci90.lambda.bt.up,ci90.A.bt.lo,ci90.A.bt.up,ci90.integral.bt.lo,ci90.integral.bt.up,ci95.mu.bt.lo,ci95.mu.bt.up,ci95.lambda.bt.lo,ci95.lambda.bt.up,ci95.A.bt.lo,ci95.A.bt.up,ci95.integral.bt.lo,ci95.integral.bt.up
HA2.152,8,D02/Mp_wt,FALSE,richards,FALSE,FALSE,0,0.007892697,28.83859154,0.310342567,8.106677124,0.000192765,0.599799702,0.007486794,0.007575599,0.008209795,27.85192103,29.82526205,0.298026791,0.322658343,0.007514878,0.008270516,27.66298412,30.01419896,0.295668451,0.325016684,0.008437751,33.81005674,0.295486086,8.145120233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,8,D02/Mp_wt,TRUE,richards,FALSE,FALSE,0,0.023783697,34.47146814,0.422466604,12.7744827,0.000514426,0.277894824,0.00161099,0.022937465,0.024629928,34.01433116,34.92860513,0.419816526,0.425116682,0.022775421,0.024791972,33.92679429,35.016142,0.419309065,0.425624144,0.024100448,34.84589162,0.428788353,12.92582043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,8,D03/Mp_wt,TRUE,richards,FALSE,FALSE,0,0.023660099,30.02466842,0.420322322,14.40689992,0.000204302,0.108774507,0.000611384,0.023324023,0.023996175,29.84573436,30.20360249,0.419316595,0.421328049,0.023259668,0.02406053,29.81147039,30.23786646,0.419124009,0.421520635,0.020993484,28.6664889,0.420490372,14.44433397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,8,D03/Mp_wt,TRUE,richards,FALSE,FALSE,0,0.015110418,28.01081979,0.355249565,11.72279113,0.000323808,0.337550574,0.002026737,0.014577755,0.015643081,27.4555491,28.56609049,0.351915582,0.358583548,0.014475755,0.015745081,27.34922067,28.67241892,0.35127716,0.35922197,0.024423574,55.22571049,0.393712171,11.76440752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,8,D03/Mp_wt,TRUE,richards,FALSE,FALSE,0,0.021991377,31.66608376,0.389757547,12.69026368,0.000200141,0.113560308,0.000636056,0.021662145,0.022320609,31.47927705,31.85289047,0.388711235,0.390803858,0.021599101,0.022383654,31.44350556,31.88866196,0.388510877,0.391004216,0.019853734,30.54173068,0.389090163,12.73304507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,8,D03/Mp_wt,TRUE,richards,FALSE,FALSE,0,0.022333884,31.07722097,0.389558818,12.99839696,0.000241765,0.133914194,0.00071488,0.02193618,0.022731587,30.85693212,31.29750982,0.38838284,0.390734796,0.021860024,0.022807743,30.81474915,31.33969279,0.388157652,0.390959984,0.020213203,29.99956087,0.389772958,13.02831613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,9,D01/Mp_wt,FALSE,gompertz.exp,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006602915,63.95677467,0.213993689,5.851046482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,9,D01/Mp_wt,TRUE,richards,FALSE,FALSE,0,0.018112517,36.91620143,0.396085957,19.92076668,0.000165525,0.13885386,0.000564791,0.017840228,0.018384806,36.68778683,37.14461603,0.395156876,0.397015039,0.017788088,0.018436947,36.64404786,37.18835499,0.394978967,0.397192948,0.016294911,35.38386685,0.401701404,19.92356181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,9,D01/Mp_wt,TRUE,richards,FALSE,FALSE,0,0.013092904,45.17130756,0.358677911,14.61831866,9.21E-05,0.138054034,0.000521741,0.012941462,0.013244346,44.94420867,45.39840644,0.357819648,0.359536175,0.012912463,0.013273345,44.90072165,45.44189346,0.357655299,0.359700524,0.011942935,43.60609678,0.359415093,14.64580974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,9,M01/DvH_wt,TRUE,logistic,FALSE,FALSE,0,0.027825368,38.27102717,0.467312904,54.53301088,0.000794471,0.274171345,0.001249469,0.026518464,0.029132273,37.82001531,38.72203903,0.465257527,0.46936828,0.026268206,0.029382531,37.73365134,38.80840301,0.464863944,0.469761863,0.031570169,40.43078498,0.508267988,55.35987966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,9,M01/DvH_wt,TRUE,richards,FALSE,FALSE,0,0.030213659,40.86078215,0.454947616,54.37040102,0.002169422,0.921061465,0.000999213,0.026644961,0.033782357,39.34563604,42.37592826,0.453303911,0.456591322,0.025961593,0.034465725,39.05550168,42.66606262,0.452989159,0.456906074,0.025567752,38.48562376,0.489315507,54.68060092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,9,M01/DvH_wt,TRUE,richards,FALSE,FALSE,0,0.032050629,42.32265992,0.461136468,54.64338773,0.002480797,0.965503824,0.00095216,0.027969717,0.03613154,40.73440613,43.91091371,0.459570165,0.462702771,0.027188266,0.036912992,40.43027242,44.21504741,0.459270234,0.463002702,0.070513518,-0.088444717,0.498655664,55.03091909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,9,M01/DvH_wt,TRUE,logistic,FALSE,FALSE,0,0.030320663,36.65543446,0.474236519,56.38072863,0.001159784,0.342298094,0.001615805,0.028412818,0.032228508,36.0923541,37.21851482,0.47157852,0.476894518,0.028047486,0.03259384,35.9845302,37.32633872,0.471069541,0.477403497,0.030229159,38.56618468,0.529084257,56.99256834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,9,D02/Mp_wt,TRUE,richards,FALSE,FALSE,0,0.014137238,55.47827373,0.326403812,19.14844569,8.90E-05,0.099970201,0.000307258,0.01399089,0.014283587,55.31382275,55.64272471,0.325898372,0.326909251,0.013962866,0.014311611,55.28233213,55.67421532,0.325801586,0.327006038,0.013135534,54.38897268,0.327323471,19.23413962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,9,D02/Mp_wt,TRUE,richards,FALSE,FALSE,0,0.014503729,52.03971163,0.336716992,20.85112519,8.94E-05,0.097963137,0.000303839,0.014356679,0.01465078,51.87856227,52.20086098,0.336217176,0.337216808,0.014328521,0.014678938,51.84770388,52.23171937,0.336121467,0.337312517,0.013270157,50.79102293,0.338565112,20.91280751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,9,D02/Mp_wt,TRUE,richards,FALSE,FALSE,0,0.014019117,50.78552792,0.343077368,22.3528378,0.000269388,0.356704152,0.000695175,0.013575974,0.01446226,50.19874959,51.37230625,0.341933805,0.344220932,0.013491117,0.014547117,50.08638778,51.48466806,0.341714825,0.344439912,0.013534043,49.62157809,0.34576164,22.57513058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,9,D03/Mp_wt,TRUE,richards,FALSE,FALSE,0,0.023001213,74.19744729,0.416329703,18.01214908,0.000401577,0.231643776,0.000937685,0.022340619,0.023661808,73.81639328,74.5785013,0.41478721,0.417872195,0.022214122,0.023788305,73.74342549,74.65146909,0.414491839,0.418167566,0.019983221,72.31989956,0.419079812,18.54777957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,9,D03/Mp_wt,TRUE,richards,FALSE,FALSE,0,0.021802573,79.04879216,0.409577449,15.72784199,0.000319596,0.203881574,0.000845141,0.021276837,0.022328308,78.71340697,79.38417735,0.408187193,0.410967705,0.021176165,0.022428981,78.64918428,79.44840005,0.407920973,0.411233924,0.019400103,77.43477987,0.4117704,16.15819896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
